*n ɲ
O7 Ǒ
oo1 òò
oo12 ǒǒ
oo2 óó
oo21 ôô
oo3 ōō
oo5 ôô
oo7 ǒǒ
u- ʉ
u- ʉ
u1 ù
U1 Ù
u-1 ʉ̀
u11 ùù
u-11 ʉ̀ʉ̀
u12 ǔ
u13 u᷅
u2 ú
U2 Ú
u-2 ʉ́
u21 û
u22 úú
u-22 ʉ́ʉ́
u23 u᷇
u3 ū
U3 Ū
u-3 ʉ̄
u32 u᷄
u33 ūū
u-33 ʉ̄ʉ̄
u5 û
U5 Û
u-5 ʉ̂
u-5 ʉ̂
u7 ǔ
U7 Ǔ
u-7 ʉ̌
u-7 ʉ̌
ua1 ùà
ua2 úá
ua3 ūā
uaf1 ùɑ̀
uaf2 úɑ́
uaf3 ūɑ̄
uu ʉ
uu1 ʉ̀
uu11 ʉ̀ʉ̀
uu12 ʉ̌
uu13 ʉ᷅
uu2 ʉ́
uu21 ʉ̂
uu22 ʉ́ʉ́
uu23 ʉ᷇
uu3 ʉ̄
uu32 ʉ᷄
uu33 ʉ̄ʉ̄
uu5 ʉ̂
uu7 ʉ̌
uuaf ʉɑ
uuaf1 ʉ̀ɑ̀
uuaf2 ʉ́ɑ́
uuaf3 ʉ̄ɑ̄
uuaf5 ʉɑ̂
uuaf7 ʉɑ̌
